CADENCE,DADENCE,FDA
10.04,8.92,11.32
9.52,8.8,11.28
10.28,9.6,11.84
12.4,11.88,14.16
12.36,11.76,14.08
12.56,11.36,14.4
13.56,12.76,15.4
14.6,13.04,16.88
12.92,12.2,14.76
14.88,13.64,17.44
17.32,15.88,19.24
16.48,14.92,18.08
17.52,15.96,19.32
16.68,15.44,18.28
16.52,14.64,18.12
19.2,17.48,21.6
21.6,18.64,23.48
22.72,20.52,27.16
18.88,16.84,20.28
25.6,22.6,29.96
26.4,23.88,31.8
27.28,25.12,32.52
27.32,23.56,31.76
27.68,24.24,31.48
26.28,23.2,30.56
28.84,24.76,32.88
27.36,24.56,33.16
28.04,25.28,32.84
29.52,26.16,33.68
29.6,26.48,35.12
31.04,25.96,35.12
28.44,24.96,33
31.96,28.44,37.64
41.92,35.56,50
38.88,34.32,47.28
37.12,33.12,44.84
42.52,38.48,55.04
42.8,36.72,52.2
46,39.24,57.72
42.6,39,53.8
44.52,38.56,56.44
46,38.88,58.28
47.88,41.84,60.8
50.68,44.28,63.4
50.12,43.88,62.56
47.56,41.72,58.36
47,41.12,60.44
50.36,44.88,63.28
50.64,42.68,62.52
48.96,44,62
54.16,46.44,66.12
56.44,49,67.76
52.48,44.56,64
54.24,46.12,65.88
60.36,50.76,70
56.28,47.92,68.92
57.72,49.4,69.04
52.4,46.04,66.4
59.76,52.64,71.28
55.32,47.52,67.48
