CADENCE,DADENCE,FDA, SQUARE,TRIANGLE,APF
100,100,100,100,100,91.66245259
100,100,100,100,100,93.68389603
100,100,100,100,99.82386881,88.52110538
100,100,100,100,99.9555679,71.90224938
100,100,100,100,100,85.42206857
100,100,100,100,91.98164611,75.00430169
100,100,100,100,97.21987315,71.81818182
100,100,100,99.94024986,99.98370451,64.48126018
100,100,100,100,97.8944475,68.84002199
100,100,100,100,98.12022415,73.34691798
100,100,100,100,100,65.70260603
100,100,100,100,99.94173343,69.91017237
100,100,100,100,99.56186209,63.08688076
100,100,100,100,100,68.45391477
100,100,100,100,99.8821129,68.68737248
100,100,100,99.3675527,84.11243507,57.76657501
100,100,100,99.12607849,99.89702199,67.79014751
100,100,100,99.8436425,99.89868034,80.82932016
100,100,100,99.6340388,95.63051146,62.79541446
100,100,100,99.81326569,99.62869016,58.45323547
100,100,100,99.6607405,100,66.82651009
100,100,100,99.9894637,96.9971552,75.62006111
100,100,100,99.5353828,99.25961693,64.60432427
100,100,100,99.63265091,99.90526814,69.64580812
100,100,100,99.88163853,99.92383697,76.88143269
100,100,100,99.81774433,99.99897609,72.26437311
100,100,100,99.82227598,99.96184982,71.55950498
100,100,100,98.61555638,99.26843532,51.36264554
100,100,100,88.5497706,91.75942549,55.5765011
100,100,100,95.1513254,98.63494051,58.75808808
100,100,100,98.34577114,99.75124378,61.84494196
100,100,100,94.48233861,96.90519691,51.19671133
100,100,100,98.36024124,99.85078029,76.64918862
100,100,100,98.6285506,99.6292997,66.30291742
100,100,100,98.40532344,99.3425198,67.58943556
100,100,100,93.30718706,98.55715992,60.41635002
100,100,100,97.36325823,99.85110384,75.48925809
100,100,100,96.69940906,99.31992015,77.98486076
100,100,100,97.93877758,99.64272145,68.0613744
100,100,100,96.11523547,99.19840884,62.97293339
100,100,100,97.80616825,99.46778621,66.92420475
100,100,100,96.71847446,99.34215267,54.83658106
100,100,100,97.61379812,99.49720052,74.538481
100,100,100,97.40702198,99.61935759,62.87584073
100,100,100,96.77472086,98.77815643,60.24783199
100,100,100,98.08074356,99.67775576,65.59599541
100,100,100,92.8632318,97.96494626,71.83073287
100,100,100,97.6446292,99.46889609,61.59769443
100,100,100,95.13861076,98.22867416,72.91584827
100,100,100,97.61686464,99.48751384,67.03354319
100,100,100,96.83608521,99.5568743,69.29527808
100,100,100,95.68334628,98.70983586,45.06574275
100,100,100,91.5864764,95.08502844,56.17696521
100,100,100,97.3745279,99.44476891,66.21721242
100,100,100,96.16157205,99.06317322,51.31528384
100,100,100,96.84117248,99.24400814,63.2157346
100,100,100,97.29897159,99.58225217,63.38586314
100,100,100,97.82891986,99.63482578,59.58140539
100,100,100,95.08179576,95.08688371,52.99390153
100,100,100,94.93363552,98.80923945,54.87351392
