CADENCE,DADENCE,FDA
28.52,9.6,11.44
32.24,9.4,11.4
27.92,9.48,11.88
31.16,12.44,14.24
33.44,13.2,14.28
29.28,12,14.48
29.92,13.28,15.52
29.32,13.36,17
33.12,12.76,14.8
36.72,14.52,17.52
35.28,16.36,19.36
34.88,15.64,18.16
34.96,16.64,19.44
35.48,15.32,18.44
37.68,16.32,18.2
35.6,18.36,21.8
41.88,19.04,23.76
66.4,21.88,27.16
35.48,18,20.32
71.76,24.2,30.12
71.68,27.2,32
87.12,28.44,32.56
70.4,25.6,31.88
74.96,25.64,31.64
77.92,24.52,30.6
87.08,27.04,32.96
83.52,26.96,33.2
79.8,27.4,33.04
73.28,28.76,33.88
74.12,28.36,35.24
75.12,27.84,35.28
71.32,26.64,33.24
93.04,35.28,37.84
131.56,43.56,50.08
115.16,39,47.44
118.84,38.76,45
169.2,49,55.12
141.64,38.2,52.4
193.92,52.92,57.88
176.48,52.68,53.84
175.72,51.96,56.6
182.04,49.28,58.44
173.28,46.76,60.88
195.72,54.56,63.48
197.24,52.48,62.68
191.36,52.4,58.48
202.36,49.48,60.48
188.4,52.28,63.32
207.6,51.32,62.8
193.12,57.04,62.12
201.08,52.28,66.2
182,53.6,67.88
185.44,51.24,64.12
212.92,52.64,66.12
202.64,56.08,70.12
202.72,50.44,69.08
225.24,53.64,69.36
208.56,54.48,66.72
214.04,64.4,71.36
199.76,50.96,67.64
