CADENCE,DADENCE,FDA
107.88,265.2,272.96
146.52,289.36,318.44
133.04,292.88,311.96
179.84,398.16,477.16
150.48,375.36,415.48
182.4,408.48,471.36
193.84,450,539.04
220.48,527.52,612.76
205.92,443.68,499.2
181.56,508.72,580.76
209.6,557.2,632.4
218.96,538.44,648.04
207.44,611.12,704.48
205.64,605.8,614.08
194.4,591.12,635.52
330.2,1009.72,1177.76
278.12,935.84,1196.68
350.92,1352.88,1638.88
276.96,782.16,866.88
371.44,1554.36,2071.48
386.28,1834.24,2196.68
356.8,1598.44,2168.92
429.52,1657.76,2416.96
423.44,1743.96,2207
346.84,1716.24,2083.48
425.24,1793.56,2380.8
437.96,2035.24,2419.8
428.4,1967.6,2468.8
646.92,2552.6,3150.88
482.96,2148.2,2896
437.64,2205.76,2542.24
580.6,2052.2,2915.32
594.16,3003.6,3833.48
676,5095.52,7156.4
882.48,4284.16,5955.32
597.64,3664.12,6026.6
754.76,4944.8,8664.84
753.36,4812.36,8040.32
922.4,6348.96,10560.32
792.64,6066.84,8975.32
978.24,6251.4,10358.08
1013,6162.16,11089.92
886.88,6346.84,10048.16
880.4,7131.36,11432.28
1041.72,6683.88,11914.88
880.48,6777.08,10783.44
993.52,6596.64,11434.56
1004.2,7523.56,11571.28
1033.16,6671.04,11511.28
895.76,6704.08,11025.8
983.6,7702.4,11516.28
979.04,8689.36,12108
1190.2,8232.96,13206.44
932.6,7287.24,11912.16
966.44,8896.08,12368.24
1086.72,8951.52,13084.8
959.6,8525.24,12202.84
902.44,8133.4,12001.4
1106.04,9748.72,13576.04
1033.2,8217.04,13030.52
